vertical_transect,quadrat,per_sand,per_pebble,per_cobble,per_boulder,per_bedrock,per_mussel,per_barnacle,per_upright,per_crust,num_snail,num_crab
1,1,52,0,48,0,0,0,11,0.005,0,0,0
1,2,41,7,52,0,0,0,7,1,1,0,1
3,3,0,15,0,0,85,0,31,59,11,0,0
5,1,5,10,50,35,0,0,15,4,0,0,0
5,2,0,10,60,30,0,0,10,3,1,0,0
5,3,0.5,20,79.5,0,0,0,7,1,1,4,1
5,4,0,10,80,10,0,0,20,0,9,3,0
4,1,0,5,95,0,0,0,11,35,10,45,3
4,2,0,4,96,0,0,0,38,7,1,153,10
4,3,0,0,100,0,0,0,8,12,3,32,1
6,1,0,45,55,0,0,0,11,0,0,0,4
6,2,0,12,88,0,0,0,2,0,0,0,4
6,3,0,54,33,13,0,0,24,2,4,1,1
2,1,0,30,10,40,20,0,30,5,1,0,0
2,2,1,25,30,70,0,0,30,1,1,0,0
2,3,0,30,5,65,0,0,15,22,0,0,0
1,3,35,0,40,25,0,0,35,3,1,0,0
1,4,87,0,13,0,0,0,5,0,0,0,0
3,1,0,38,62,0,0,0,15,13,0.5,0,0
3,2,0,5,45,10,0,0,10,5,0.25,0,0
