date,site,vertical_transect,quadrat,side,temp_C,precip,cloud_cover,dist_horizontal_transect,photo,tidal_station,stadia_height,eye_height,stadia_time
2021-10-26,Scotts bay,1,1,sheltered,9,1.5,100,45,1,1,180,165,0915
2021-10-26,Scotts bay,1,2,sheltered,9,1.5,100,130,2,1,180,165,0915
2021-10-26,Scotts bay ,1,3,sheltered,9,10,90,0,,1,167,167,1015
2021-10-26,Scotts bay ,1,4,sheltered,10,10,90,0,4,1,167,167,1015
2021-10-26,Scotts bay ,2,1,sheltered,9,2,100,3,1,2,166,167,0917
2021-10-26,Scotts bay ,2,2,sheltered,9,2,100,10,2,2,166,167,1001
2021-10-26,Scotts bay ,2,3,sheltered,9,2,100,1,3,2,0,0,1017
2021-10-26,Scotts bay ,3,1,sheltered,9,0,100,0,,3,167,167,0915
2021-10-26,Scotts bay ,3,2,sheltered,9,0,95,0,,3,167,167,0915
2021-10-26,Scotts bay,3,3,sheltered,9,1.5,75,180,3,3,24,0,1005
2021-10-26,Scotts bay,4,1,exposed,9,2,100,40,NA,4,183,183,0916
2021-10-26,Scotts bay,4,2,exposed,9,2,100,100,NA,4,183,183,0945
2021-10-26,Scotts bay,4,3,exposed,9,2,100,60,NA,4,183,183,1017
2021-10-26,Scotts bay,5,1,exposed,9,1.5,100,1.5,NA,5,174,162.5,0925
2021-10-26,Scotts bay,5,2,exposed,9,1.5,100,0.3,NA,5,174,162.5,0925
2021-10-26,Scotts bay,5,3,exposed,9,0,90,0.15,NA,5,162.5,162.5,1005
2021-10-26,Scotts bay,5,4,exposed,9,0,95,1.35,NA,5,162.5,162.5,1005
2021-10-26,Scotts bay,6,1,exposed,9,1.5,100,20,Mike_1,6,200.7,167,0920
2021-10-26,Scotts bay,6,2,exposed,9,1.5,100,34,Mike_2,6,200.7,167,0920
2021-10-26,Scotts bay,6,3,exposed,9,1.5,100,28,Mike_3,6,0,0,1006
